month_local,hr_local,daytype,mape,bias_mw,n
1,0,weekday,2.4970824604803856,-997.9269662921364,178
1,0,weekend,2.4300798208774905,-1053.0285714285717,70
1,1,weekday,2.7299276878580665,-1831.1797752808982,178
1,1,weekend,2.5825820448054326,-1572.1285714285725,70
1,2,weekday,2.9203972953491038,-2479.4662921348317,178
1,2,weekend,2.740023048603206,-2076.5142857142855,70
1,3,weekday,3.239784065989794,-2799.539325842697,178
1,3,weekend,3.109067092431072,-2464.7714285714287,70
1,4,weekday,3.1532511239410193,-2671.438202247191,178
1,4,weekend,3.233509617479471,-2617.6428571428573,70
1,5,weekday,2.693891735191765,-2148.7977528089873,178
1,5,weekend,2.9410872602576776,-2385.157142857143,70
1,6,weekday,2.287656315925797,-1404.5168539325855,178
1,6,weekend,2.566490135138519,-1916.8285714285714,70
1,7,weekday,2.647498045542692,-1472.544943820227,178
1,7,weekend,2.2683033006642663,-1493.3999999999999,70
1,8,weekday,2.5406327273585636,-1276.26966292135,178
1,8,weekend,1.9381081000744171,-1074.4571428571423,70
1,9,weekday,2.0158836051885567,-735.9101123595509,178
1,9,weekend,1.703651668070124,-668.1999999999999,70
1,10,weekday,1.8647348557454073,-576.0561797752807,178
1,10,weekend,1.7168914386370564,-694.6428571428573,70
1,11,weekday,2.0619151023924944,-881.9157303370788,178
1,11,weekend,1.9509533660873393,-981.8857142857136,70
1,12,weekday,2.341580394205911,-1326.168539325841,178
1,12,weekend,2.394969811182659,-1449.8571428571431,70
1,13,weekday,2.6454931429599338,-1777.7359550561785,178
1,13,weekend,2.7756251417983733,-1887.6714285714284,70
1,14,weekday,2.929086040207782,-2151.123595505618,178
1,14,weekend,3.050954446234038,-2271.2428571428563,70
1,15,weekday,2.9884379583337153,-2211.893258426968,178
1,15,weekend,3.25220296186092,-2448.6714285714284,70
1,16,weekday,2.7679266657125297,-1862.5,178
1,16,weekend,2.9541769320876448,-2120.8,70
1,17,weekday,2.401692197351613,-955.0224719101126,178
1,17,weekend,2.449701901476336,-1316.8714285714286,70
1,18,weekday,2.220886790737083,-670,178
1,18,weekend,2.344572671954758,-971.1714285714281,70
1,19,weekday,1.6155380168262383,-512.7752808988772,178
1,19,weekend,2.0908402273841142,-932.6428571428573,70
1,20,weekday,1.3728881261349135,-173.43820224719107,178
1,20,weekend,1.828192249439421,-499.4142857142857,70
1,21,weekday,1.3081601226100774,73.25280898876424,178
1,21,weekend,1.7081158868602158,-243.51428571428585,70
1,22,weekday,1.457091307815995,287.0224719101131,178
1,22,weekend,1.7899637232862957,-72.9000000000002,70
1,23,weekday,1.8218593732583979,-21.943820224716816,178
1,23,weekend,1.9529628700059984,-400.72857142857123,70
2,0,weekday,2.276376288285905,-1779.049689440994,161
2,0,weekend,1.8453811692177011,-1421.646153846154,65
2,1,weekday,2.7740247637259046,-2302.5093167701866,161
2,1,weekend,2.1387695803942495,-1789.2923076923075,65
2,2,weekday,3.2774777554688534,-2794.7018633540374,161
2,2,weekend,2.263746396288729,-2003.5076923076922,65
2,3,weekday,3.5174085499235175,-2981.614906832298,161
2,3,weekend,2.521587803004822,-2208.3230769230768,65
2,4,weekday,3.388833202470421,-2804.074534161491,161
2,4,weekend,2.490686603743624,-2195.0615384615385,65
2,5,weekday,2.631781703625555,-1989.0310559006211,161
2,5,weekend,2.2034811267823513,-1863.123076923077,65
2,6,weekday,1.7767435872153419,-739.416149068323,161
2,6,weekend,1.8419065684952831,-1359,65
2,7,weekday,1.7381665888783884,-485.60248447204987,161
2,7,weekend,1.6210850283735119,-1010.0307692307694,65
2,8,weekday,1.65185033948431,-151.09937888198775,161
2,8,weekend,1.4357147548105544,-546.0307692307695,65
2,9,weekday,1.5041550191294597,144.91304347826096,161
2,9,weekend,1.19824985613629,-191.20000000000007,65
2,10,weekday,1.6626694236959827,101.31055900621101,161
2,10,weekend,1.4005646891896955,-294.29230769230765,65
2,11,weekday,1.8599104377747326,-220.61490683229823,161
2,11,weekend,1.7571654644101369,-739.353846153846,65
2,12,weekday,2.0110879650257747,-621.1863354037266,161
2,12,weekend,2.116139941474276,-1360.2615384615387,65
2,13,weekday,2.242760272669999,-1027.5900621118026,161
2,13,weekend,2.5134284828597573,-1824.8000000000002,65
2,14,weekday,2.4187993210836405,-1303.8944099378893,161
