rep,ev_low,ev_mid,ev_high
1,56599.82285714285,74982.13535714285,76306.90285714286
2,57171.25142857142,75553.56392857143,76878.33142857144
3,50885.53714285714,69267.84964285714,70592.61714285715
4,61456.96571428571,79839.2782142857,81164.04571428572
5,51171.25142857142,69553.56392857143,70878.33142857144
6,51456.96571428571,69839.2782142857,71164.04571428572
7,56314.108571428565,74696.42107142856,76021.18857142857
8,51742.67999999999,70124.9925,71449.76000000001
9,52028.394285714276,70410.70678571428,71735.4742857143
10,51742.67999999999,70124.9925,71449.76000000001
11,59456.96571428571,77839.2782142857,79164.04571428572
12,59171.25142857142,77553.56392857143,78878.33142857144
13,53171.25142857142,71553.56392857143,72878.33142857144
14,57742.67999999999,76124.9925,77449.76000000001
15,54028.394285714276,72410.70678571428,73735.4742857143
16,57456.96571428571,75839.2782142857,77164.04571428572
17,57742.67999999999,76124.9925,77449.76000000001
18,56028.394285714276,74410.70678571428,75735.4742857143
19,51742.67999999999,70124.9925,71449.76000000001
20,56885.53714285714,75267.84964285714,76592.61714285715
21,51171.25142857142,69553.56392857143,70878.33142857144
22,54599.82285714285,72982.13535714285,74306.90285714286
23,48028.394285714276,66410.70678571428,67735.4742857143
24,53456.96571428571,71839.2782142857,73164.04571428572
25,51171.25142857142,69553.56392857143,70878.33142857144
26,53742.67999999999,72124.9925,73449.76000000001
27,52599.82285714285,70982.13535714285,72306.90285714286
28,56885.53714285714,75267.84964285714,76592.61714285715
29,53742.67999999999,72124.9925,73449.76000000001
30,53742.67999999999,72124.9925,73449.76000000001
31,52314.108571428565,70696.42107142856,72021.18857142857
32,57742.67999999999,76124.9925,77449.76000000001
33,57742.67999999999,76124.9925,77449.76000000001
34,55742.67999999999,74124.9925,75449.76000000001
35,57456.96571428571,75839.2782142857,77164.04571428572
36,54599.82285714285,72982.13535714285,74306.90285714286
37,54028.394285714276,72410.70678571428,73735.4742857143
38,60885.53714285714,79267.84964285714,80592.61714285715
39,56028.394285714276,74410.70678571428,75735.4742857143
40,51456.96571428571,69839.2782142857,71164.04571428572
41,55171.25142857142,73553.56392857143,74878.33142857144
42,55456.96571428571,73839.2782142857,75164.04571428572
43,48028.394285714276,66410.70678571428,67735.4742857143
44,57742.67999999999,76124.9925,77449.76000000001
45,53171.25142857142,71553.56392857143,72878.33142857144
46,52314.108571428565,70696.42107142856,72021.18857142857
47,53742.67999999999,72124.9925,73449.76000000001
48,52314.108571428565,70696.42107142856,72021.18857142857
49,56599.82285714285,74982.13535714285,76306.90285714286
50,51742.67999999999,70124.9925,71449.76000000001
51,56314.108571428565,74696.42107142856,76021.18857142857
52,49742.67999999999,68124.9925,69449.76000000001
53,56885.53714285714,75267.84964285714,76592.61714285715
54,57742.67999999999,76124.9925,77449.76000000001
55,58314.108571428565,76696.42107142856,78021.18857142857
56,54599.82285714285,72982.13535714285,74306.90285714286
57,54599.82285714285,72982.13535714285,74306.90285714286
58,51456.96571428571,69839.2782142857,71164.04571428572
59,53456.96571428571,71839.2782142857,73164.04571428572
60,54314.108571428565,72696.42107142856,74021.18857142857
61,48599.82285714285,66982.13535714285,68306.90285714286
62,54599.82285714285,72982.13535714285,74306.90285714286
63,48885.53714285714,67267.84964285714,68592.61714285715
64,55171.25142857142,73553.56392857143,74878.33142857144
65,52314.108571428565,70696.42107142856,72021.18857142857
66,51456.96571428571,69839.2782142857,71164.04571428572
67,53742.67999999999,72124.9925,73449.76000000001
68,54028.394285714276,72410.70678571428,73735.4742857143
69,57456.96571428571,75839.2782142857,77164.04571428572
70,52314.108571428565,70696.42107142856,72021.18857142857
71,56314.108571428565,74696.42107142856,76021.18857142857
72,50028.394285714276,68410.70678571428,69735.4742857143
73,59742.67999999999,78124.9925,79449.76000000001
74,52599.82285714285,70982.13535714285,72306.90285714286
75,51171.25142857142,69553.56392857143,70878.33142857144
76,53171.25142857142,71553.56392857143,72878.33142857144
77,54314.108571428565,72696.42107142856,74021.18857142857
78,50885.53714285714,69267.84964285714,70592.61714285715
79,55456.96571428571,73839.2782142857,75164.04571428572
80,55456.96571428571,73839.2782142857,75164.04571428572
81,53742.67999999999,72124.9925,73449.76000000001
82,55171.25142857142,73553.56392857143,74878.33142857144
83,53456.96571428571,71839.2782142857,73164.04571428572
84,55456.96571428571,73839.2782142857,75164.04571428572
85,52028.394285714276,70410.70678571428,71735.4742857143
86,54314.108571428565,72696.42107142856,74021.18857142857
87,59171.25142857142,77553.56392857143,78878.33142857144
88,52028.394285714276,70410.70678571428,71735.4742857143
89,62885.53714285714,81267.84964285714,82592.61714285715
90,55171.25142857142,73553.56392857143,74878.33142857144
91,50028.394285714276,68410.70678571428,69735.4742857143
92,55456.96571428571,73839.2782142857,75164.04571428572
93,54599.82285714285,72982.13535714285,74306.90285714286
94,53742.67999999999,72124.9925,73449.76000000001
95,57742.67999999999,76124.9925,77449.76000000001
96,48599.82285714285,66982.13535714285,68306.90285714286
97,56885.53714285714,75267.84964285714,76592.61714285715
98,56028.394285714276,74410.70678571428,75735.4742857143
99,58314.108571428565,76696.42107142856,78021.18857142857
100,51742.67999999999,70124.9925,71449.76000000001
101,52314.108571428565,70696.42107142856,72021.18857142857
102,54885.53714285714,73267.84964285714,74592.61714285715
103,54599.82285714285,72982.13535714285,74306.90285714286
104,46599.82285714285,64982.13535714285,66306.90285714286
105,51456.96571428571,69839.2782142857,71164.04571428572
106,56028.394285714276,74410.70678571428,75735.4742857143
107,51742.67999999999,70124.9925,71449.76000000001
108,55456.96571428571,73839.2782142857,75164.04571428572
109,53456.96571428571,71839.2782142857,73164.04571428572
110,55742.67999999999,74124.9925,75449.76000000001
111,59456.96571428571,77839.2782142857,79164.04571428572
112,56314.108571428565,74696.42107142856,76021.18857142857
113,54028.394285714276,72410.70678571428,73735.4742857143
114,52314.108571428565,70696.42107142856,72021.18857142857
115,54599.82285714285,72982.13535714285,74306.90285714286
116,56028.394285714276,74410.70678571428,75735.4742857143
