date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2019-06-01,2019,101614,FALSE,18
2019-06-02,2019,95850,FALSE,18
2019-06-03,2019,91883,FALSE,18
2019-06-04,2019,95024,FALSE,18
2019-06-05,2019,108431,FALSE,18
2019-06-06,2019,117110,FALSE,18
2019-06-07,2019,105093,FALSE,17
2019-06-08,2019,94514,FALSE,17
2019-06-09,2019,92133,FALSE,18
2019-06-10,2019,99760,FALSE,18
2019-06-11,2019,100761,FALSE,18
2019-06-12,2019,95560,FALSE,17
2019-06-13,2019,90412,FALSE,17
2019-06-14,2019,89692,FALSE,18
2019-06-15,2019,87818,FALSE,18
2019-06-16,2019,98516,FALSE,18
2019-06-17,2019,112450,FALSE,16
2019-06-18,2019,113023,FALSE,17
2019-06-19,2019,115264,FALSE,17
2019-06-20,2019,112504,FALSE,17
2019-06-21,2019,103863,FALSE,18
2019-06-22,2019,96615,FALSE,18
2019-06-23,2019,104995,FALSE,19
2019-06-24,2019,120953,FALSE,17
2019-06-25,2019,125891,FALSE,18
2019-06-26,2019,134783,FALSE,18
2019-06-27,2019,136567,FALSE,17
2019-06-28,2019,136089,FALSE,17
2019-06-29,2019,129901,FALSE,16
2019-06-30,2019,118537,FALSE,18
2019-07-01,2019,131527,FALSE,18
2019-07-02,2019,139398,FALSE,17
2019-07-03,2019,134227,FALSE,17
2019-07-04,2019,124863,FALSE,16
2019-07-05,2019,133350,FALSE,17
2019-07-06,2019,126333,FALSE,16
2019-07-07,2019,118571,FALSE,18
2019-07-08,2019,120261,FALSE,18
2019-07-09,2019,134626,FALSE,18
2019-07-10,2019,142589,TRUE,18
2019-07-11,2019,132303,FALSE,15
2019-07-12,2019,132355,FALSE,18
2019-07-13,2019,130683,FALSE,18
2019-07-14,2019,132503,FALSE,18
2019-07-15,2019,139607,FALSE,18
2019-07-16,2019,140733,FALSE,18
2019-07-17,2019,143961,TRUE,17
2019-07-18,2019,138468,FALSE,18
2019-07-19,2019,152315,TRUE,18
2019-07-20,2019,150454,TRUE,17
2019-07-21,2019,140535,FALSE,18
2019-07-22,2019,130293,FALSE,16
2019-07-23,2019,108682,FALSE,18
2019-07-24,2019,117591,FALSE,18
2019-07-25,2019,123525,FALSE,18
2019-07-26,2019,127003,FALSE,18
2019-07-27,2019,126152,FALSE,18
2019-07-28,2019,133074,FALSE,18
2019-07-29,2019,140619,FALSE,18
2019-07-30,2019,138514,FALSE,17
2019-07-31,2019,128858,FALSE,16
